"번호","지역","상호","주소","기간","상표","셀프여부","LPG"
"기준 : 월간(201901~201912)"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 01월","SK에너지","일반","888.42"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 02월","SK에너지","일반","843.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 03월","SK에너지","일반","846.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 04월","SK에너지","일반","846.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 05월","SK에너지","일반","898.90"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 06월","SK에너지","일반","902.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 07월","SK에너지","일반","844.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 08월","SK에너지","일반","833.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 09월","SK에너지","일반","833.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 10월","SK에너지","일반","833.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 11월","SK에너지","일반","863.00"
"A0009839","서울 강남구","(주)진양가스","서울 강남구 도곡로 142  (도곡동)","2019년 12월","SK에너지","일반","875.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 01월","SK가스","일반","847.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 02월","SK가스","일반","847.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 03월","SK가스","일반","847.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 04월","SK가스","일반","847.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 05월","SK가스","일반","899.90"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 06월","SK가스","일반","903.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 07월","SK가스","일반","845.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 08월","SK가스","일반","834.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 09월","SK가스","일반","834.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 10월","SK가스","일반","834.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 11월","SK가스","일반","863.00"
"A0001229","서울 강남구","SK행복충전 수서에너지충전소","서울 강남구 밤고개로 127 (자곡동)","2019년 12월","SK가스","일반","875.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 01월","GS칼텍스","일반","847.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 02월","GS칼텍스","일반","847.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 03월","GS칼텍스","일반","847.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 04월","GS칼텍스","일반","847.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 05월","GS칼텍스","일반","899.90"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 06월","GS칼텍스","일반","903.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 07월","GS칼텍스","일반","845.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 08월","GS칼텍스","일반","834.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 09월","GS칼텍스","일반","834.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 10월","GS칼텍스","일반","834.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 11월","GS칼텍스","일반","863.00"
"A0001201","서울 강남구","남서울가스(주)","서울 강남구 남부순환로3154","2019년 12월","GS칼텍스","일반","875.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 01월","GS칼텍스","일반","847.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 02월","GS칼텍스","일반","847.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 03월","GS칼텍스","일반","847.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 04월","GS칼텍스","일반","847.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 05월","GS칼텍스","일반","899.90"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 06월","GS칼텍스","일반","903.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 07월","GS칼텍스","일반","845.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 08월","GS칼텍스","일반","834.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 09월","GS칼텍스","일반","834.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 10월","GS칼텍스","일반","834.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 11월","GS칼텍스","일반","863.00"
"A0001227","서울 강남구","대치에너지","서울 강남구 남부순환로 3179 (대치동)","2019년 12월","GS칼텍스","일반","874.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 01월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 02월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 03월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 04월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 05월","E1","일반","898.71"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 06월","E1","일반","902.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 07월","E1","일반","844.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 08월","E1","일반","833.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 09월","E1","일반","833.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 10월","E1","일반","833.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 11월","E1","일반","863.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 12월","E1","일반","875.00"
